Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
106.27265415576662,80.617,6.864,3.1821940496115246,74.82,879.4152868493275,895.3,127.3,104.9,146.7,882.3,8.82,18.75,1.0
105.902,81.027,6.864,3.19,74.81,903.1,919.9,116.9,106.5,147.0,926.5,8.81,18.76,1.0
105.902,81.26,6.292,3.31,75.7,890.0,909.6,115.7,106.6,145.6,888.6,8.77,18.79,3.0
105.883,81.089,6.188,3.26,75.77,889.4,911.6,126.4,111.4,146.3,893.0,8.82,18.75,3.0
106.115,81.974,10.972,2.86,75.65,901.2,916.2,119.9,107.3,145.7,901.1,8.94,18.63,4.0
106.25,81.39,6.968,3.22,74.84,916.9,936.5,113.0,101.9,147.2,919.4,8.82,18.74,2.0
105.97,81.311,6.292,3.27,75.75,891.3,910.7,122.0,110.9,146.8,896.1,8.73,18.84,3.0
105.94,81.217,6.292,3.31,75.74,890.9,911.4,114.8,105.0,145.3,890.1,8.77,18.8,3.0
105.886,81.2,6.292,3.34,75.74,895.3,913.8,118.7,105.1,145.8,892.9,8.76,18.8,3.0
105.949,81.384,6.239999999999999,3.26,75.71,896.6,914.2,116.9,105.5,146.2,902.3,8.79,18.77,2.0
106.134,81.339,6.968,3.25,74.83,911.6,925.4,109.7,102.2,147.8,915.5,8.85,18.71,2.0
106.269,81.286,7.124,3.18,74.8,887.8,904.6,121.4,106.1,145.5,920.3,8.78,18.78,2.0
106.323,80.617,6.864,3.198243094370966,74.83,919.974394237024,918.2,127.3,106.2,146.7,937.7,8.8,18.72,1.0
105.966,81.262,6.188,3.29,75.72,894.2,916.0,114.5,106.9,146.7,902.4,8.86,18.7,3.0
105.913,81.006,6.968,3.16,74.81,907.2,920.1,115.4,106.6,145.6,928.1,8.88,18.68,1.0
105.505,81.437,6.968,3.16,74.82,901.6,935.9,120.5,104.9,146.7,917.5,8.84,18.73,1.0
106.033,81.137,6.968,3.15,74.8,909.7,924.3,117.8,106.1,145.5,916.7,8.86,18.71,2.0
105.449,81.027,6.864,3.1865623092503443,74.83,879.5321324383543,935.9,120.5,106.57321920249468,147.0,917.5,8.85,18.77,1.0
106.117,81.519,6.188,2.87,75.63,902.7,919.3,120.2,107.2,145.5,909.6,8.95,18.62,4.0
106.13,82.091,11.024,2.88,75.65,900.5,917.1,118.1,106.1,145.5,905.4,8.97,18.6,4.0
105.916,81.258,6.239999999999999,3.28,75.74,891.1,915.1,118.4,106.9,147.1,903.6,8.81,18.76,3.0
106.42721380494676,81.027,6.864,3.22,74.83,885.5530686561904,935.9,120.5,106.45182287134708,145.8,926.5,8.85,18.71,1.0
106.195,81.342,6.968,3.25,74.81,909.6,929.7,124.9,105.1,146.3,912.9,8.82,18.74,2.0
106.11,81.314,6.968,3.25,74.81,907.5,925.8,114.2,103.2,145.8,905.1,8.79,18.77,2.0
106.246,81.25,6.968,3.17,74.83,914.4,927.5,116.0,106.1,145.9,931.9,8.85,18.72,2.0
106.474827319454,81.162,6.864,3.16,74.82,879.4108705141836,902.0336532778018,127.3,104.9,145.6,922.3,8.85,18.73,1.0
106.217,81.397,6.968,3.24,74.81,910.3,924.5,116.0,104.2,145.8,911.2,8.81,18.75,2.0
106.112,81.566,7.748,2.86,75.63,901.4,918.4,113.6,105.5,146.2,910.2,8.93,18.63,4.0
105.923,80.954,6.968,3.19,74.82,902.9,919.5,116.6,105.7,145.7,919.9,8.83,18.74,2.0
105.449,81.471,6.864,3.1926947498138434,74.81,886.9,896.8,118.4,106.2,146.0,882.3,8.84,18.73,1.0
105.887,81.242,6.188,3.26,75.75,890.4,910.8,121.4,106.0,146.3,885.8,8.77,18.79,3.0
105.902,81.058,6.864,3.190208611973294,74.81,908.6,918.2,120.5,106.2,147.6,920.2,8.76,18.72,1.0
106.294,81.336,6.864,3.23,74.8,909.4,927.8,115.7,103.8,145.6,911.2,8.83,18.74,2.0
105.916,81.2,6.239999999999999,3.33,75.71,895.7,913.2,119.0,106.7,146.6,883.0,8.72,18.84,3.0
105.904,81.239,6.292,3.31,75.71,894.4,913.6,119.9,106.2,145.6,891.1,8.78,18.79,3.0
105.938,81.175,6.292,3.44,75.73,889.3,910.5,118.4,102.7,146.3,863.9,8.68,18.88,3.0
106.434,81.522,6.968,3.17,74.83,880.0,900.7,122.0,106.0,146.2,921.9,8.82,18.75,1.0
106.105,82.106,11.18,2.97,75.66,900.9,916.7,116.9,104.3,147.4,877.8,8.84,18.73,4.0
105.505,81.162,6.864,3.22,74.81,920.0866721015268,896.8,118.4,107.8,147.0,882.3,8.81,18.73,1.0
106.228,81.29,6.968,3.19,74.81,916.9,934.3,119.9,104.4,145.7,914.3,8.84,18.72,2.0
106.237,81.058,7.228,3.191239253336878,74.81,901.6,919.9,120.5,106.31988882576574,145.9,937.7,8.76,18.76,1.0
106.45,81.487,6.968,3.19,74.82,881.5,897.9,117.8,104.9,145.5,932.4,8.85,18.72,2.0
106.31,81.392,6.968,3.29,74.83,921.0,938.5,114.2,100.4,145.6,906.9,8.74,18.83,2.0
106.048,81.261,6.864,3.2,74.8,912.5,927.5,116.6,106.1,146.0,916.7,8.86,18.71,2.0
105.841,81.171,6.292,3.32,75.73,893.3,917.1,114.2,106.2,146.5,889.7,8.81,18.76,3.0
106.038,81.976,11.128,2.9,75.62,900.9,918.0,119.0,105.3,146.6,890.9,8.88,18.69,4.0
106.27713516920927,81.471,7.228,3.16,74.82,879.2119500769754,938.2,127.3,106.49131287197312,145.9,882.3,8.8,18.8,1.0
105.931,81.268,6.188,3.32,75.71,889.8,918.6,114.8,104.2,147.2,886.7,8.76,18.8,3.0
106.086,81.456,6.188,2.92,75.64,904.6,919.9,121.4,106.1,145.4,916.4,8.96,18.61,4.0
106.464,81.362,7.124,3.23,74.83,880.8,895.9,115.1,104.4,146.7,923.7,8.82,18.75,1.0
106.237,81.471,7.228,3.2,74.83,903.1,926.3,104.6,104.3,147.0,882.3,8.85,18.72,1.0
106.169,81.303,7.124,3.19,74.81,916.9,938.0,113.9,104.6,145.4,909.3,8.83,18.74,2.0
106.047,81.397,6.084,2.89,75.63,905.9,921.4,117.5,106.5,145.0,906.1,8.91,18.66,4.0
105.831,81.216,6.292,3.31,75.72,894.1,911.6,120.5,105.1,145.5,886.6,8.72,18.85,3.0
106.27337226762886,80.617,6.864,3.190858546942602,74.83,903.1,926.3,120.5,107.3,148.1,920.2,8.76,18.77,1.0
105.928,81.142,6.188,3.26,75.67,889.8,914.9,119.6,106.5,147.3,894.3,8.78,18.78,3.0
105.924,81.194,6.292,3.33,75.74,891.5,913.2,122.0,108.2,147.3,879.5,8.76,18.81,3.0
106.164,81.221,6.968,3.2,74.81,908.8,926.5,113.6,104.5,146.7,921.3,8.86,18.71,2.0
106.258,81.296,6.864,3.16,74.81,884.6,903.5,119.6,107.6,146.1,920.9,8.83,18.73,1.0
106.137,82.024,11.128,2.85,75.61,900.9,920.6,117.5,107.4,145.1,924.1,8.98,18.59,3.0
105.998,81.28,6.292,3.37,75.71,889.3,910.3,113.9,102.6,147.1,868.7,8.73,18.84,3.0
106.324,81.36,6.864,3.24,74.83,914.7,934.8,111.8,102.2,145.7,908.1,8.8,18.77,2.0
105.986,81.296,6.188,3.34,75.74,893.7,914.2,117.8,106.0,147.2,896.2,8.77,18.8,3.0
106.319,81.389,6.968,3.19,74.81,885.9,902.9,119.3,103.9,146.2,931.1,8.82,18.75,1.0
106.4707986111746,81.162,6.864,3.199749492150708,74.81,920.5600995978546,935.9,127.3,104.3,145.9,930.5,8.8,18.75,1.0
105.944,81.362,7.124,3.187043743885244,74.81,919.616259713598,902.40975024887,120.5,106.55706212207755,147.0,882.3,8.76,18.73,1.0
105.95,81.196,6.188,3.32,75.75,890.9,912.1,118.7,107.2,146.1,893.1,8.77,18.79,3.0
105.984,81.399,6.084,2.89,75.62,905.7,922.1,116.3,105.1,145.8,898.0,8.92,18.65,3.0
106.486,81.383,6.968,3.22,74.81,879.8,896.3,117.8,104.1,145.5,909.5,8.78,18.79,2.0
105.943,81.295,6.292,3.34,75.74,891.1,910.7,119.9,106.6,146.5,887.7,8.76,18.81,3.0
106.111,82.126,11.128,2.9,75.65,902.2,918.8,117.2,105.9,145.8,919.2,9.0,18.57,4.0
106.074,82.078,11.128,2.89,75.65,903.3,920.1,120.5,106.1,145.1,904.8,8.93,18.64,4.0
106.338,81.457,6.968,3.19,74.81,910.3,926.0,112.7,104.6,146.2,910.1,8.81,18.76,2.0
105.944,80.411,7.228,3.1940669994926862,74.82,885.4864421871777,926.3,113.9,106.54322685936276,145.8,874.6,8.82,18.76,1.0
105.97,81.279,6.292,3.38,75.73,895.0,913.8,110.3,102.9,145.6,875.1,8.67,18.9,3.0
105.902,81.471,6.864,3.16,74.83,901.6,904.0,127.3,106.39614059244502,145.8,926.5,8.68,18.75,1.0
106.115,82.077,11.128,2.92,75.6,901.4,918.4,119.3,105.5,145.5,893.5,8.9,18.67,4.0
106.083,82.074,10.972,2.94,75.61,900.7,916.0,118.4,103.1,145.2,880.7,8.77,18.8,3.0
105.888,81.167,6.292,3.35,75.74,895.5,914.4,115.1,106.0,148.1,889.3,8.79,18.78,3.0
105.746,81.104,6.292,3.34,75.74,890.2,912.3,118.1,108.1,146.8,892.4,8.75,18.82,3.0
106.46220627530222,81.058,6.968,3.22,74.83,901.6,919.9,104.6,104.3,147.0,923.9,8.76,18.76,1.0
106.281,81.295,6.968,3.23,74.8,886.1,902.4,116.9,102.3,146.3,918.6,8.79,18.78,2.0
106.27356796490012,80.617,6.864,3.22,74.82,886.9,904.0,120.5,106.7,147.0,933.1,8.59,18.73,1.0
106.282,81.4,6.864,3.19,74.82,913.1,929.7,113.9,105.5,145.7,911.7,8.83,18.74,2.0
106.169,81.143,7.332,3.11,74.81,921.9,938.7,118.7,110.2,145.3,927.2,8.91,18.66,2.0
106.282,81.385,6.864,3.2,74.83,913.4,930.0,119.0,104.7,145.8,917.7,8.81,18.76,2.0
106.067,82.049,11.128,2.96,75.64,900.3,916.0,116.9,104.1,145.9,882.3,8.82,18.75,4.0
106.4764082241313,81.058,6.864,3.186532341380385,74.83,901.6,919.9,113.9,104.3,148.1,930.5,8.82,18.72,1.0
105.826,81.135,6.188,3.29,75.73,893.3,912.3,121.4,109.3,148.3,887.9,8.78,18.79,3.0
106.27586044567995,81.437,7.124,3.186472338464725,74.82,901.6,896.8,120.5,106.2,146.7,937.7,8.85,18.76,1.0
105.505,81.162,7.228,3.16,74.81,920.1608630538976,902.2784684996316,113.9,106.45400989553706,147.0,923.9,8.76,18.73,1.0
106.093,82.079,11.128,2.96,75.64,902.0,919.3,115.7,103.3,145.5,876.8,8.79,18.78,4.0
106.065,81.999,11.128,2.95,75.62,899.6,914.5,120.5,104.0,146.6,891.5,8.93,18.63,4.0
105.902,80.617,6.864,3.1926004230901945,74.82,908.6,938.2,120.5,104.3,146.1,882.3,8.82,18.8,1.0
105.916,81.197,6.188,3.28,75.73,891.8,910.5,116.9,105.5,145.9,882.9,8.76,18.8,3.0
106.227,81.305,6.968,3.2,74.81,919.3,936.3,113.6,105.1,146.0,914.9,8.82,18.75,2.0
106.116,81.484,6.136,2.87,75.62,903.1,920.3,118.4,105.6,145.5,896.0,8.95,18.62,4.0
106.305,81.281,6.864,3.2,74.82,914.2,929.1,116.3,103.5,145.7,913.0,8.83,18.74,2.0
105.992,81.364,6.292,3.32,75.72,895.5,914.5,117.2,105.3,146.4,878.0,8.76,18.81,3.0
106.109,81.954,11.232,3.0,75.69,903.8,919.7,114.8,103.1,148.1,875.5,8.79,18.78,4.0
106.324,81.326,6.968,3.17,74.8,885.7,900.7,116.6,106.0,146.3,927.0,8.83,18.74,1.0
106.173,81.199,6.968,3.21,74.82,910.3,925.6,117.5,103.9,147.4,921.7,8.84,18.73,2.0
106.124,81.54,6.084,2.86,75.61,905.9,923.0,122.3,107.8,146.1,900.8,8.94,18.63,4.0
106.27470533267012,80.617,6.864,3.22,74.82,903.1,902.5504537970864,116.9,107.8,146.1,917.5,8.59,18.76,1.0
106.099,81.397,6.084,2.86,75.61,904.8,920.4,121.1,108.4,147.8,898.5,8.88,18.69,4.0
106.345,81.385,6.968,3.18,74.83,884.8,900.7,123.8,108.3,147.6,913.3,8.81,18.76,2.0
106.039,81.505,6.084,2.92,75.63,903.6,918.8,109.7,103.4,146.0,895.5,8.9,18.67,4.0
106.237,81.437,6.864,3.187348777537212,74.81,908.6,938.2,120.5,107.3,145.9,882.3,8.68,18.73,1.0
106.277,81.339,6.968,3.17,74.81,908.4,924.1,113.6,105.5,146.4,921.4,8.84,18.73,1.0
106.22,81.308,6.968,3.22,74.81,914.4,931.1,108.5,101.4,145.3,915.1,8.8,18.77,2.0
106.105,82.138,11.128,2.92,75.67,904.0,919.3,114.2,106.0,145.3,899.8,8.88,18.69,3.0
106.109,82.053,10.972,2.89,75.64,901.8,917.3,114.2,105.6,145.2,904.6,8.94,18.62,4.0
105.906,81.186,6.188,3.3,75.74,888.9,911.6,125.8,107.5,146.1,886.1,8.73,18.84,3.0
106.054,81.415,6.188,2.87,75.61,903.6,919.9,116.6,107.3,145.7,913.2,8.97,18.6,4.0
106.062,81.945,10.972,2.93,75.64,903.1,918.8,114.2,105.6,145.7,882.4,8.83,18.74,4.0
106.47733601809936,81.437,7.124,3.189451507529756,74.82,903.1,896.8,127.3,106.40122447430213,148.1,922.3,8.59,18.75,1.0
105.822,80.833,6.968,3.19,74.83,917.9,934.5,124.7,110.5,146.6,918.7,8.85,18.72,2.0
106.338,81.328,6.864,3.23,74.82,918.6,938.3,113.6,103.0,145.6,908.5,8.83,18.74,2.0
106.27371812728524,81.471,6.864,3.2,74.82,901.6,926.3,120.5,106.2,146.1,937.7,8.85,18.73,1.0
105.94,80.926,6.864,3.14,74.81,920.4,938.7,121.7,111.0,146.1,913.8,8.89,18.68,2.0
106.26,81.254,6.864,3.26,74.81,913.8,930.6,116.6,103.5,146.5,911.9,8.81,18.76,2.0
106.246,81.376,6.968,3.26,74.82,910.1,928.7,116.0,103.4,146.4,908.8,8.77,18.8,2.0
106.319,81.293,6.864,3.26,74.82,917.5,935.6,119.0,104.4,146.6,908.7,8.8,18.77,2.0
105.944,80.411,6.864,3.22,74.82,885.5080781724425,938.2,113.9,104.3,145.8,917.5,8.85,18.73,1.0
105.968,81.286,6.292,3.34,75.75,896.5,915.5,115.7,106.0,145.8,882.0,8.72,18.85,3.0
106.098,81.256,6.968,3.19,74.83,908.8,927.6,125.2,107.3,146.6,915.9,8.78,18.79,2.0
105.843,81.133,6.239999999999999,3.45,75.74,891.7,911.6,109.4,102.2,146.8,870.6,8.72,18.85,3.0
106.23,81.379,6.968,3.29,74.83,912.9,928.4,114.2,100.3,147.6,901.0,8.77,18.8,2.0
106.435,81.355,6.968,3.32,74.82,916.9,936.7,113.9,103.5,145.6,904.9,8.81,18.76,2.0
106.185,81.423,6.084,2.89,75.62,905.3,921.7,121.1,107.5,147.1,892.6,8.85,18.72,4.0
106.136,82.034,11.128,2.96,75.62,899.8,916.0,118.1,103.2,146.1,881.4,8.78,18.78,4.0
106.159,81.365,6.968,3.23,74.81,907.9,925.8,120.2,104.4,146.1,913.5,8.79,18.77,2.0
106.04,82.047,10.972,2.98,75.63,900.7,917.7,111.8,102.0,146.3,869.3,8.8,18.76,4.0
106.173,81.521,6.084,2.87,75.62,906.8,923.0,115.1,106.5,145.1,893.8,8.9,18.66,4.0
106.137,81.544,6.084,2.87,75.65,905.1,919.7,115.7,106.6,145.6,891.4,8.87,18.7,4.0
106.28,81.311,7.124,3.18,74.81,888.5,902.7,118.4,105.7,146.3,913.2,8.79,18.78,2.0
105.844,81.132,6.188,3.49,75.74,892.6,912.3,122.0,105.0,147.0,865.0,8.68,18.88,3.0
106.27493989311566,81.343,6.968,3.1937304313896457,74.82,920.3853755665627,919.9,104.6,106.7,147.6,937.7,8.84,18.76,1.0
106.107,82.051,11.128,2.96,75.66,900.9,918.4,120.8,104.6,146.2,875.2,8.79,18.78,4.0
105.944,80.617,7.228,3.22,74.82,901.6,935.9,104.6,106.2,146.1,937.7,8.83,18.89,1.0
106.132,82.067,11.232,2.86,75.63,902.5,920.3,116.9,107.7,146.4,912.6,8.9,18.67,4.0
105.917,81.152,6.292,3.25,75.73,891.1,910.5,116.9,107.3,146.7,911.5,8.85,18.71,3.0
106.237,81.471,6.864,3.16,74.82,908.6,902.3842919580449,116.9,107.8,146.0,926.5,8.82,18.71,1.0
106.104,82.016,11.128,2.91,75.62,900.7,917.1,116.0,104.4,145.8,894.6,8.89,18.68,4.0
106.033,81.077,7.851999999999999,3.17,74.81,918.2,937.4,118.4,109.0,145.3,912.1,8.85,18.71,2.0
106.153,81.291,6.968,3.19,74.82,911.4,925.6,113.0,103.7,145.6,923.7,8.84,18.73,2.0
105.833,81.009,6.239999999999999,3.49,75.73,891.8,914.7,110.3,101.4,145.8,862.4,8.68,18.89,3.0
106.307,81.324,6.968,3.25,74.81,908.4,926.2,114.5,104.2,145.5,921.2,8.81,18.75,2.0
106.237,80.411,6.968,3.1786657624716907,74.82,886.9,895.3,120.5,104.3,146.7,933.1,8.85,18.76,1.0
106.131,81.381,6.968,3.24,74.81,908.8,924.5,124.1,106.7,145.9,910.2,8.8,18.77,2.0
105.99,81.283,6.292,3.28,75.75,896.3,916.0,115.7,106.7,145.1,895.5,8.81,18.76,3.0
106.049,81.45,6.084,2.84,75.63,905.7,918.6,119.6,107.8,144.9,910.8,8.94,18.63,4.0
106.038,82.104,11.128,3.05,75.67,902.4,919.1,109.7,100.5,146.1,865.1,8.72,18.85,4.0
105.866,81.023,6.864,3.18,74.84,905.3,920.4,116.3,105.7,145.5,919.9,8.83,18.73,1.0
106.096,82.039,11.128,2.96,75.62,902.4,918.8,120.5,103.5,146.2,883.0,8.82,18.75,4.0
106.252,81.293,6.968,3.18,74.8,912.0,927.6,116.3,106.4,145.4,912.7,8.85,18.71,2.0
105.975,81.291,6.292,3.31,75.71,891.7,911.8,113.6,104.6,146.3,893.5,8.75,18.81,3.0
106.075,81.464,6.084,2.86,75.64,903.5,919.9,119.6,105.6,145.2,897.3,8.91,18.66,4.0
106.06,82.067,11.128,2.98,75.65,900.9,915.1,119.9,102.5,145.6,880.0,8.8,18.77,4.0
106.19,81.24,6.968,3.16,74.81,910.3,926.7,115.7,104.7,145.5,922.7,8.85,18.72,2.0
106.097,82.04,11.232,2.98,75.63,900.0,917.5,113.6,102.1,146.7,881.8,8.79,18.77,4.0
106.31,81.382,6.864,3.19,74.81,910.5,927.8,115.1,104.5,146.6,913.6,8.84,18.73,2.0
106.273,81.337,6.968,3.23,74.81,916.4,934.1,111.8,103.2,146.1,921.0,8.82,18.75,2.0
105.981,80.996,6.864,3.11,74.82,919.9,938.2,120.5,111.2,146.7,917.7,8.88,18.68,2.0
106.247,81.317,6.864,3.25,74.79,913.6,930.0,121.1,103.8,145.5,905.9,8.82,18.75,2.0
106.149,82.04,11.128,2.92,75.6,900.9,916.9,117.8,106.0,145.4,888.9,8.83,18.74,4.0
105.936,81.059,6.968,3.17,74.81,905.7,920.3,120.2,106.3,146.0,918.0,8.84,18.73,2.0
106.133,81.414,6.084,2.89,75.65,905.5,920.3,120.8,106.9,146.2,901.6,8.88,18.69,4.0
106.118,81.964,11.128,2.95,75.67,902.4,917.1,116.3,105.6,145.9,889.7,8.85,18.72,4.0
106.098,82.032,11.128,2.98,75.63,902.9,920.1,117.5,101.7,146.6,881.6,8.86,18.71,4.0
106.33,81.386,6.968,3.29,74.82,918.6,938.9,114.2,102.2,145.2,899.2,8.82,18.75,2.0
105.832,81.138,6.188,3.38,75.73,890.7,915.1,117.8,106.0,146.1,874.9,8.72,18.84,3.0
106.188,81.34,6.864,3.25,74.81,909.4,925.8,117.5,101.8,145.4,910.1,8.84,18.73,1.0
106.323,81.058,6.864,3.16,74.82,908.6,938.2,116.9,104.9,147.0,933.1,8.81,18.77,1.0
105.782,80.865,7.124,3.27,74.82,897.2,914.0,119.6,103.4,146.4,905.3,8.81,18.76,2.0
106.068,81.358,6.084,2.83,75.65,904.0,920.1,117.8,107.9,146.2,915.3,8.99,18.58,4.0
106.108,81.462,6.084,2.85,75.64,904.0,921.5,114.2,105.8,146.2,915.5,8.95,18.62,4.0
106.318,81.354,6.864,3.19,74.8,913.4,929.5,120.5,105.5,146.9,923.7,8.84,18.73,1.0
105.925,81.057,6.188,3.31,75.76,892.8,914.5,116.9,105.4,146.1,893.6,8.82,18.75,3.0
106.053,81.426,6.136,2.87,75.63,904.2,918.8,114.2,103.3,145.1,887.0,8.89,18.68,4.0
106.304,81.361,6.968,3.24,74.81,885.2,902.2,119.3,104.3,146.3,913.5,8.81,18.76,2.0
106.108,81.212,6.968,3.14,74.83,910.7,926.9,122.9,104.9,146.3,916.0,8.85,18.71,2.0
105.944,81.058,6.864,3.22,74.82,903.1,926.3,120.5,106.2,147.0,923.9,8.81,18.71,1.0
106.237,81.343,7.228,3.180890558526344,74.82,878.8626503167388,896.8,120.5,104.3,147.0,920.2,8.85,18.76,1.0
105.902,80.617,7.228,3.180570159817491,74.81,879.8995623392303,919.9,104.6,104.3,145.9,933.1,8.76,18.76,1.0
105.866,81.073,6.188,3.34,75.73,891.7,913.4,119.6,103.9,145.4,877.0,8.72,18.85,3.0
105.764,80.591,6.968,3.5,74.82,918.4,933.5,114.2,99.5,145.7,890.0,8.74,18.83,2.0
106.236,81.329,6.968,3.19,74.82,909.7,927.5,114.8,105.7,146.7,913.3,8.8,18.76,2.0
106.047,82.007,11.128,2.9,75.64,905.7,919.3,120.2,105.6,145.4,885.0,8.92,18.65,4.0
105.873,81.195,6.188,3.32,75.74,893.1,912.1,119.3,108.4,145.8,897.0,8.77,18.79,3.0
106.042,82.032,11.128,2.98,75.64,901.8,918.4,111.5,101.5,146.4,869.5,8.78,18.79,4.0
106.176,81.357,6.968,3.21,74.81,910.7,926.5,118.7,106.4,145.4,904.2,8.82,18.74,2.0
105.778,81.132,6.188,3.55,75.74,894.4,917.3,116.0,100.8,147.4,853.9,8.69,18.88,3.0
106.324,81.373,6.968,3.22,74.82,885.9,901.2,117.2,102.6,147.1,915.4,8.81,18.75,2.0
106.002,81.328,6.292,3.27,75.72,890.9,914.4,123.2,108.2,145.1,908.9,8.84,18.73,3.0
105.865,81.196,6.239999999999999,3.34,75.77,891.3,912.9,112.1,103.2,146.0,881.4,8.74,18.82,3.0
105.882,81.29,6.292,3.41,75.75,890.7,912.3,115.4,103.7,145.8,875.4,8.67,18.9,3.0
105.988,81.04,6.864,3.11,74.81,920.4,937.2,122.0,110.7,147.2,931.5,8.96,18.61,2.0
106.46933410935704,80.617,6.864,3.16,74.81,901.6,895.3,120.5,107.8,145.8,937.7,8.81,18.76,1.0
105.991,81.085,6.968,3.17,74.8,907.9,923.8,116.3,105.4,147.4,916.2,8.88,18.69,2.0
106.162,81.452,6.084,2.88,75.66,902.7,918.0,115.1,106.2,147.3,913.4,8.97,18.6,4.0
105.85,81.101,6.239999999999999,3.38,75.74,891.7,912.0,114.8,106.3,146.9,882.7,8.75,18.81,3.0
106.387,81.312,6.864,3.23,74.8,915.1,932.2,116.6,103.3,145.9,905.4,8.81,18.76,2.0
105.944,81.027,7.228,3.16,74.82,885.3418588587443,895.3,120.5,104.9,146.0,882.3,8.82,18.72,1.0
106.301,81.351,6.968,3.22,74.82,912.9,929.7,115.7,104.4,146.3,908.8,8.81,18.76,2.0
105.903,81.274,6.292,3.38,75.74,889.8,910.8,118.1,105.0,146.8,880.2,8.75,18.82,3.0
106.47049571526136,81.362,7.124,3.184944029038212,74.83,885.2382244080794,902.083382721094,113.9,104.9,147.0,923.9,8.85,18.8,1.0
106.47397623249604,81.058,6.968,3.187023949448059,74.83,901.6,935.9,113.9,106.53085449077,146.1,937.7,8.76,18.72,1.0
106.45617981582556,80.411,6.864,3.184992560158592,74.82,903.1,902.8691261710457,107.3,104.9,147.0,930.5,8.82,18.75,1.0
105.772,80.91,6.864,3.28,74.81,897.7,914.4,112.1,102.9,145.8,910.3,8.8,18.77,2.0
106.048,81.223,6.188,3.3,75.72,890.9,910.5,114.8,104.1,145.2,882.5,8.7,18.87,3.0
106.075,82.011,10.868,2.88,75.6,903.8,919.5,113.6,106.2,145.5,901.8,8.91,18.66,4.0
106.09,82.074,11.128,3.01,75.64,900.5,916.4,112.7,102.2,145.4,876.2,8.8,18.76,4.0
106.107,82.027,11.128,2.99,75.61,900.3,916.7,118.4,103.6,146.6,874.0,8.8,18.77,4.0
105.696,81.152,6.292,3.37,75.72,894.4,916.6,116.9,106.1,147.5,868.3,8.71,18.85,3.0
106.05,82.024,11.128,2.92,75.61,900.9,918.0,123.8,104.3,145.7,891.0,8.87,18.69,3.0
